▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 990ms
 GET / 200 in 51ms (compile: 4ms, proxy.ts: 5ms, render: 43ms)
 GET / 200 in 52ms (compile: 3ms, proxy.ts: 4ms, render: 45ms)
 GET / 200 in 55ms (compile: 5ms, proxy.ts: 6ms, render: 45ms)
 GET / 200 in 52ms (compile: 5ms, proxy.ts: 7ms, render: 40ms)
 GET / 200 in 35ms (compile: 3ms, proxy.ts: 4ms, render: 28ms)
 GET / 200 in 52ms (compile: 4ms, proxy.ts: 7ms, render: 41ms)
 GET / 200 in 33ms (compile: 3ms, proxy.ts: 5ms, render: 25ms)
 GET / 200 in 33ms (compile: 3ms, proxy.ts: 7ms, render: 23ms)
 GET / 200 in 42ms (compile: 7ms, proxy.ts: 5ms, render: 30ms)
 GET / 200 in 58ms (compile: 5ms, proxy.ts: 15ms, render: 39ms)
 GET / 200 in 49ms (compile: 2ms, proxy.ts: 4ms, render: 43ms)
 GET / 200 in 35ms (compile: 5ms, proxy.ts: 5ms, render: 24ms)
 GET / 200 in 65ms (compile: 5ms, proxy.ts: 4ms, render: 55ms)
 GET / 200 in 36ms (compile: 4ms, proxy.ts: 4ms, render: 28ms)
 GET / 200 in 92ms (compile: 6ms, proxy.ts: 5ms, render: 81ms)
 GET / 200 in 88ms (compile: 2ms, proxy.ts: 4ms, render: 81ms)
 GET / 200 in 29ms (compile: 3ms, proxy.ts: 5ms, render: 21ms)
 GET / 200 in 31ms (compile: 3ms, proxy.ts: 5ms, render: 23ms)
 GET / 200 in 48ms (compile: 5ms, proxy.ts: 5ms, render: 38ms)
 GET / 200 in 44ms (compile: 3ms, proxy.ts: 4ms, render: 37ms)
 GET / 200 in 29ms (compile: 3ms, proxy.ts: 4ms, render: 22ms)
 GET / 200 in 27ms (compile: 3ms, proxy.ts: 4ms, render: 20ms)
 GET / 200 in 31ms (compile: 5ms, proxy.ts: 4ms, render: 22ms)
 GET / 200 in 33ms (compile: 6ms, proxy.ts: 5ms, render: 21ms)
 GET / 200 in 29ms (compile: 5ms, proxy.ts: 4ms, render: 20ms)
 GET / 200 in 47ms (compile: 3ms, proxy.ts: 5ms, render: 39ms)
 GET / 200 in 56ms (compile: 6ms, proxy.ts: 4ms, render: 46ms)
 GET / 200 in 51ms (compile: 3ms, proxy.ts: 7ms, render: 41ms)
 GET / 200 in 40ms (compile: 3ms, proxy.ts: 3ms, render: 33ms)
 GET / 200 in 24ms (compile: 3ms, proxy.ts: 5ms, render: 17ms)
 GET / 200 in 24ms (compile: 4ms, proxy.ts: 4ms, render: 17ms)
 GET / 200 in 38ms (compile: 2ms, proxy.ts: 4ms, render: 32ms)
 GET / 200 in 39ms (compile: 3ms, proxy.ts: 3ms, render: 33ms)
 GET / 200 in 40ms (compile: 4ms, proxy.ts: 3ms, render: 33ms)
 GET / 200 in 40ms (compile: 2ms, proxy.ts: 6ms, render: 32ms)
 GET / 200 in 45ms (compile: 2ms, proxy.ts: 4ms, render: 39ms)
 GET / 200 in 57ms (compile: 3ms, proxy.ts: 4ms, render: 51ms)
 GET / 200 in 56ms (compile: 3ms, proxy.ts: 7ms, render: 46ms)
 GET / 200 in 32ms (compile: 3ms, proxy.ts: 6ms, render: 23ms)
 GET / 200 in 31ms (compile: 3ms, proxy.ts: 5ms, render: 22ms)
 GET / 200 in 29ms (compile: 4ms, proxy.ts: 6ms, render: 20ms)
 GET / 200 in 27ms (compile: 3ms, proxy.ts: 4ms, render: 20ms)
 GET / 200 in 61ms (compile: 6ms, proxy.ts: 5ms, render: 50ms)
 GET / 200 in 50ms (compile: 3ms, proxy.ts: 5ms, render: 42ms)
 GET / 200 in 52ms (compile: 3ms, proxy.ts: 6ms, render: 43ms)
 GET / 200 in 49ms (compile: 3ms, proxy.ts: 6ms, render: 40ms)
 GET / 200 in 50ms (compile: 4ms, proxy.ts: 4ms, render: 43ms)
 GET / 200 in 31ms (compile: 3ms, proxy.ts: 6ms, render: 22ms)
 GET / 200 in 50ms (compile: 4ms, proxy.ts: 5ms, render: 41ms)
 GET / 200 in 54ms (compile: 3ms, proxy.ts: 6ms, render: 46ms)
 GET / 200 in 51ms (compile: 3ms, proxy.ts: 5ms, render: 43ms)
 GET / 200 in 43ms (compile: 2ms, proxy.ts: 5ms, render: 35ms)
 GET / 200 in 40ms (compile: 2ms, proxy.ts: 5ms, render: 33ms)
 GET / 200 in 44ms (compile: 3ms, proxy.ts: 4ms, render: 37ms)
 GET / 200 in 46ms (compile: 2ms, proxy.ts: 5ms, render: 39ms)
 GET / 200 in 49ms (compile: 3ms, proxy.ts: 3ms, render: 43ms)
 GET / 200 in 51ms (compile: 2ms, proxy.ts: 6ms, render: 43ms)
 GET / 200 in 52ms (compile: 2ms, proxy.ts: 4ms, render: 46ms)
 GET / 200 in 46ms (compile: 3ms, proxy.ts: 4ms, render: 39ms)
 GET / 200 in 47ms (compile: 3ms, proxy.ts: 4ms, render: 39ms)
 GET / 200 in 48ms (compile: 2ms, proxy.ts: 5ms, render: 40ms)
 GET / 200 in 45ms (compile: 3ms, proxy.ts: 4ms, render: 38ms)
 GET / 200 in 44ms (compile: 3ms, proxy.ts: 5ms, render: 36ms)
 GET / 200 in 44ms (compile: 3ms, proxy.ts: 5ms, render: 36ms)
 GET / 200 in 30ms (compile: 3ms, proxy.ts: 5ms, render: 23ms)
 GET / 200 in 28ms (compile: 3ms, proxy.ts: 6ms, render: 19ms)
 GET / 200 in 31ms (compile: 3ms, proxy.ts: 4ms, render: 24ms)
