▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1003ms
 GET /login 200 in 99ms (compile: 5ms, proxy.ts: 19ms, render: 75ms)
 GET /test-badge-grid 200 in 104ms (compile: 8ms, proxy.ts: 26ms, render: 70ms)
 GET /login 200 in 99ms (compile: 6ms, proxy.ts: 25ms, render: 69ms)
 GET /test-badge-grid 200 in 94ms (compile: 8ms, proxy.ts: 24ms, render: 63ms)
 GET /login 200 in 92ms (compile: 5ms, proxy.ts: 24ms, render: 64ms)
 GET /test-badge-grid 200 in 94ms (compile: 7ms, proxy.ts: 23ms, render: 65ms)
 GET /login 200 in 98ms (compile: 7ms, proxy.ts: 20ms, render: 70ms)
 GET /test-badge-grid 200 in 99ms (compile: 4ms, proxy.ts: 20ms, render: 75ms)
 GET /login 200 in 108ms (compile: 9ms, proxy.ts: 25ms, render: 74ms)
 GET /test-badge-grid 200 in 104ms (compile: 5ms, proxy.ts: 25ms, render: 73ms)
 GET /login 200 in 101ms (compile: 11ms, proxy.ts: 23ms, render: 67ms)
 GET /test-badge-grid 200 in 114ms (compile: 8ms, proxy.ts: 27ms, render: 79ms)
 GET /login 200 in 110ms (compile: 8ms, proxy.ts: 19ms, render: 83ms)
 GET /test-badge-grid 200 in 109ms (compile: 4ms, proxy.ts: 24ms, render: 80ms)
 GET /login 200 in 109ms (compile: 10ms, proxy.ts: 31ms, render: 67ms)
 GET /test-badge-grid 200 in 97ms (compile: 8ms, proxy.ts: 25ms, render: 65ms)
 GET /login 200 in 91ms (compile: 4ms, proxy.ts: 21ms, render: 66ms)
 GET /test-badge-grid 200 in 91ms (compile: 10ms, proxy.ts: 23ms, render: 59ms)
 GET /login 200 in 88ms (compile: 3ms, proxy.ts: 21ms, render: 63ms)
 GET /test-badge-grid 200 in 88ms (compile: 6ms, proxy.ts: 22ms, render: 60ms)
 GET /login 200 in 85ms (compile: 7ms, proxy.ts: 20ms, render: 57ms)
 GET /test-badge-grid 200 in 94ms (compile: 5ms, proxy.ts: 25ms, render: 65ms)
 GET /login 200 in 96ms (compile: 3ms, proxy.ts: 20ms, render: 73ms)
 GET /test-badge-grid 200 in 98ms (compile: 9ms, proxy.ts: 20ms, render: 69ms)
 GET /login 200 in 100ms (compile: 5ms, proxy.ts: 28ms, render: 68ms)
 GET /test-badge-grid 200 in 96ms (compile: 8ms, proxy.ts: 22ms, render: 67ms)
 GET /login 200 in 102ms (compile: 5ms, proxy.ts: 21ms, render: 76ms)
 GET /test-badge-grid 200 in 102ms (compile: 7ms, proxy.ts: 21ms, render: 73ms)
 GET /login 200 in 103ms (compile: 4ms, proxy.ts: 25ms, render: 74ms)
 GET /test-badge-grid 200 in 108ms (compile: 15ms, proxy.ts: 20ms, render: 73ms)
 GET /login 200 in 108ms (compile: 8ms, proxy.ts: 24ms, render: 76ms)
 GET /test-badge-grid 200 in 107ms (compile: 14ms, proxy.ts: 23ms, render: 70ms)
 GET /login 200 in 105ms (compile: 7ms, proxy.ts: 26ms, render: 71ms)
 GET /test-badge-grid 200 in 100ms (compile: 9ms, proxy.ts: 24ms, render: 67ms)
 GET /login 200 in 133ms (compile: 7ms, proxy.ts: 23ms, render: 103ms)
 GET /test-badge-grid 200 in 135ms (compile: 8ms, proxy.ts: 20ms, render: 107ms)
 GET /login 200 in 138ms (compile: 8ms, proxy.ts: 24ms, render: 106ms)
 GET /test-badge-grid 200 in 136ms (compile: 39ms, proxy.ts: 26ms, render: 71ms)
 GET /login 200 in 134ms (compile: 10ms, proxy.ts: 58ms, render: 67ms)
 GET /test-badge-grid 200 in 96ms (compile: 7ms, proxy.ts: 24ms, render: 65ms)
 GET /login 200 in 91ms (compile: 5ms, proxy.ts: 21ms, render: 64ms)
 GET /test-badge-grid 200 in 93ms (compile: 10ms, proxy.ts: 19ms, render: 64ms)
 GET /login 200 in 103ms (compile: 5ms, proxy.ts: 21ms, render: 78ms)
 GET /test-badge-grid 200 in 103ms (compile: 6ms, proxy.ts: 19ms, render: 78ms)
 GET /login 200 in 109ms (compile: 7ms, proxy.ts: 22ms, render: 80ms)
 GET /test-badge-grid 200 in 121ms (compile: 6ms, proxy.ts: 33ms, render: 83ms)
 GET /login 200 in 93ms (compile: 6ms, proxy.ts: 21ms, render: 67ms)
 GET /test-badge-grid 200 in 98ms (compile: 5ms, proxy.ts: 27ms, render: 66ms)
 GET /login 200 in 100ms (compile: 4ms, proxy.ts: 24ms, render: 72ms)
 GET /test-badge-grid 200 in 101ms (compile: 9ms, proxy.ts: 22ms, render: 70ms)
 GET /login 200 in 106ms (compile: 24ms, proxy.ts: 10ms, render: 72ms)
 GET /test-badge-grid 200 in 105ms (compile: 10ms, proxy.ts: 25ms, render: 70ms)
 GET /login 200 in 99ms (compile: 22ms, proxy.ts: 11ms, render: 67ms)
 GET /test-badge-grid 200 in 94ms (compile: 7ms, proxy.ts: 25ms, render: 62ms)
 GET /login 200 in 95ms (compile: 6ms, proxy.ts: 28ms, render: 61ms)
 GET /test-badge-grid 200 in 88ms (compile: 6ms, proxy.ts: 17ms, render: 65ms)
 GET /login 200 in 97ms (compile: 10ms, proxy.ts: 19ms, render: 67ms)
 GET /test-badge-grid 200 in 107ms (compile: 20ms, proxy.ts: 8ms, render: 78ms)
 GET /login 200 in 136ms (compile: 6ms, proxy.ts: 23ms, render: 107ms)
 GET /test-badge-grid 200 in 121ms (compile: 9ms, proxy.ts: 28ms, render: 84ms)
 GET /login 200 in 114ms (compile: 17ms, proxy.ts: 28ms, render: 69ms)
 GET /test-badge-grid 200 in 108ms (compile: 24ms, proxy.ts: 14ms, render: 70ms)
 GET /login 200 in 99ms (compile: 7ms, proxy.ts: 26ms, render: 66ms)
 GET /test-badge-grid 200 in 95ms (compile: 6ms, proxy.ts: 24ms, render: 65ms)
 GET /login 200 in 98ms (compile: 9ms, proxy.ts: 20ms, render: 69ms)
 GET /test-badge-grid 200 in 114ms (compile: 5ms, proxy.ts: 23ms, render: 86ms)
 GET /login 200 in 96ms (compile: 5ms, proxy.ts: 21ms, render: 70ms)
 GET /test-badge-grid 200 in 99ms (compile: 11ms, proxy.ts: 22ms, render: 66ms)
 GET /login 200 in 94ms (compile: 6ms, proxy.ts: 24ms, render: 63ms)
 GET /test-badge-grid 200 in 92ms (compile: 6ms, proxy.ts: 22ms, render: 64ms)
 GET /login 200 in 97ms (compile: 7ms, proxy.ts: 24ms, render: 66ms)
 GET /test-badge-grid 200 in 94ms (compile: 4ms, proxy.ts: 22ms, render: 68ms)
 GET /login 200 in 95ms (compile: 6ms, proxy.ts: 21ms, render: 68ms)
 GET /test-badge-grid 200 in 103ms (compile: 7ms, proxy.ts: 24ms, render: 71ms)
 GET /login 200 in 97ms (compile: 7ms, proxy.ts: 24ms, render: 66ms)
 GET /test-badge-grid 200 in 94ms (compile: 5ms, proxy.ts: 23ms, render: 66ms)
 GET /login 200 in 92ms (compile: 16ms, proxy.ts: 18ms, render: 58ms)
 GET /test-badge-grid 200 in 87ms (compile: 5ms, proxy.ts: 16ms, render: 66ms)
 GET /login 200 in 92ms (compile: 5ms, proxy.ts: 20ms, render: 66ms)
 GET /test-badge-grid 200 in 96ms (compile: 8ms, proxy.ts: 19ms, render: 68ms)
 GET /login 200 in 101ms (compile: 6ms, proxy.ts: 27ms, render: 68ms)
 GET /test-badge-grid 200 in 96ms (compile: 6ms, proxy.ts: 19ms, render: 72ms)
