
> fin@0.2.0 dev
> next dev --port 3000

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 948ms
 GET /login 200 in 32ms (compile: 3ms, proxy.ts: 5ms, render: 24ms)
 GET /login 200 in 32ms (compile: 3ms, proxy.ts: 7ms, render: 22ms)
 GET /login 200 in 35ms (compile: 5ms, proxy.ts: 5ms, render: 26ms)
 GET /login 200 in 26ms (compile: 4ms, proxy.ts: 6ms, render: 16ms)
 GET /login 200 in 30ms (compile: 4ms, proxy.ts: 5ms, render: 21ms)
 GET /login 200 in 30ms (compile: 3ms, proxy.ts: 5ms, render: 22ms)
 GET /login 200 in 30ms (compile: 6ms, proxy.ts: 4ms, render: 20ms)
 GET /login 200 in 33ms (compile: 3ms, proxy.ts: 7ms, render: 23ms)
 GET /login 200 in 29ms (compile: 4ms, proxy.ts: 5ms, render: 20ms)
 GET /login 200 in 26ms (compile: 4ms, proxy.ts: 5ms, render: 18ms)
 GET /login 200 in 54ms (compile: 4ms, proxy.ts: 5ms, render: 45ms)
 GET /login 200 in 30ms (compile: 3ms, proxy.ts: 4ms, render: 23ms)
 GET /login 200 in 31ms (compile: 4ms, proxy.ts: 5ms, render: 22ms)
 GET /login 200 in 33ms (compile: 5ms, proxy.ts: 5ms, render: 23ms)
 GET /login 200 in 32ms (compile: 4ms, proxy.ts: 6ms, render: 22ms)
 GET /login 200 in 38ms (compile: 5ms, proxy.ts: 6ms, render: 27ms)
 GET /login 200 in 31ms (compile: 4ms, proxy.ts: 6ms, render: 21ms)
 GET /login 200 in 30ms (compile: 5ms, proxy.ts: 5ms, render: 20ms)
 GET /login 200 in 33ms (compile: 4ms, proxy.ts: 5ms, render: 24ms)
 GET /login 200 in 36ms (compile: 6ms, proxy.ts: 6ms, render: 24ms)
 GET /login 200 in 33ms (compile: 5ms, proxy.ts: 6ms, render: 22ms)
 GET /login 200 in 30ms (compile: 4ms, proxy.ts: 5ms, render: 21ms)
 GET /login 200 in 32ms (compile: 6ms, proxy.ts: 5ms, render: 21ms)
 GET /login 200 in 31ms (compile: 5ms, proxy.ts: 4ms, render: 22ms)
