▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1079ms
 GET /login 200 in 33ms (compile: 4ms, proxy.ts: 5ms, render: 24ms)
 GET /login 200 in 35ms (compile: 5ms, proxy.ts: 7ms, render: 23ms)
 GET /login 200 in 48ms (compile: 5ms, proxy.ts: 6ms, render: 37ms)
 GET /login 200 in 29ms (compile: 4ms, proxy.ts: 5ms, render: 21ms)
 GET /login 200 in 29ms (compile: 4ms, proxy.ts: 5ms, render: 21ms)
 GET /login 200 in 32ms (compile: 5ms, proxy.ts: 5ms, render: 22ms)
 GET /login 200 in 27ms (compile: 4ms, proxy.ts: 4ms, render: 19ms)
 GET /login 200 in 48ms (compile: 4ms, proxy.ts: 4ms, render: 40ms)
 GET /login 200 in 46ms (compile: 4ms, proxy.ts: 7ms, render: 35ms)
 GET /login 200 in 38ms (compile: 5ms, proxy.ts: 7ms, render: 27ms)
 GET /login 200 in 30ms (compile: 4ms, proxy.ts: 6ms, render: 21ms)
 GET /login 200 in 35ms (compile: 4ms, proxy.ts: 4ms, render: 27ms)
 GET /login 200 in 31ms (compile: 5ms, proxy.ts: 7ms, render: 19ms)
 GET /login 200 in 56ms (compile: 4ms, proxy.ts: 7ms, render: 46ms)
 GET /login 200 in 37ms (compile: 5ms, proxy.ts: 6ms, render: 25ms)
 GET /login 200 in 24ms (compile: 3ms, proxy.ts: 4ms, render: 16ms)
 GET /login 200 in 30ms (compile: 4ms, proxy.ts: 5ms, render: 21ms)
 GET /login 200 in 30ms (compile: 4ms, proxy.ts: 5ms, render: 21ms)
 GET /login 200 in 49ms (compile: 4ms, proxy.ts: 4ms, render: 41ms)
 GET /login 200 in 33ms (compile: 4ms, proxy.ts: 7ms, render: 22ms)
 GET /login 200 in 31ms (compile: 4ms, proxy.ts: 4ms, render: 23ms)
 GET /login 200 in 31ms (compile: 4ms, proxy.ts: 6ms, render: 21ms)
 GET /login 200 in 31ms (compile: 5ms, proxy.ts: 5ms, render: 21ms)
 GET /login 200 in 31ms (compile: 4ms, proxy.ts: 5ms, render: 22ms)
 GET /login 200 in 42ms (compile: 5ms, proxy.ts: 5ms, render: 32ms)
 GET /login 200 in 45ms (compile: 4ms, proxy.ts: 15ms, render: 26ms)
 GET /login 200 in 36ms (compile: 5ms, proxy.ts: 7ms, render: 24ms)
 GET /login 200 in 27ms (compile: 4ms, proxy.ts: 5ms, render: 19ms)
 GET /login 200 in 29ms (compile: 3ms, proxy.ts: 4ms, render: 21ms)
 GET /login 200 in 43ms (compile: 4ms, proxy.ts: 5ms, render: 35ms)
 GET /login 200 in 28ms (compile: 3ms, proxy.ts: 5ms, render: 20ms)
 GET /login 200 in 25ms (compile: 3ms, proxy.ts: 4ms, render: 18ms)
 GET /login 200 in 33ms (compile: 3ms, proxy.ts: 7ms, render: 22ms)
 GET /login 200 in 32ms (compile: 3ms, proxy.ts: 6ms, render: 23ms)
 GET /login 200 in 30ms (compile: 3ms, proxy.ts: 5ms, render: 21ms)
 GET /login 200 in 27ms (compile: 5ms, proxy.ts: 4ms, render: 18ms)
 GET /login 200 in 28ms (compile: 4ms, proxy.ts: 4ms, render: 20ms)
 GET /login 200 in 34ms (compile: 5ms, proxy.ts: 5ms, render: 23ms)
 GET /login 200 in 29ms (compile: 5ms, proxy.ts: 5ms, render: 19ms)
 GET /login 200 in 27ms (compile: 3ms, proxy.ts: 4ms, render: 20ms)
 GET /login 200 in 36ms (compile: 4ms, proxy.ts: 4ms, render: 28ms)
 GET /login 200 in 39ms (compile: 13ms, proxy.ts: 5ms, render: 20ms)
 GET /login 200 in 30ms (compile: 4ms, proxy.ts: 5ms, render: 21ms)
 GET /login 200 in 60ms (compile: 4ms, proxy.ts: 5ms, render: 52ms)
 GET /login 200 in 32ms (compile: 4ms, proxy.ts: 5ms, render: 24ms)
 GET /login 200 in 29ms (compile: 4ms, proxy.ts: 5ms, render: 21ms)
 GET /login 200 in 30ms (compile: 5ms, proxy.ts: 4ms, render: 22ms)
 GET /login 200 in 30ms (compile: 4ms, proxy.ts: 5ms, render: 21ms)
 GET /login 200 in 31ms (compile: 4ms, proxy.ts: 5ms, render: 22ms)
 GET /login 200 in 30ms (compile: 4ms, proxy.ts: 5ms, render: 20ms)
