
> fin@0.2.0 dev
> next dev --port 3000

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 970ms
Error: ENOENT: no such file or directory, open 'C:\Users\janpa\cd\development\fin\.next\dev\routes-manifest.json'
    at ignore-listed frames {
  errno: -4058,
  code: 'ENOENT',
  syscall: 'open',
  path: 'C:\\Users\\janpa\\cd\\development\\fin\\.next\\dev\\routes-manifest.json'
}
 GET /api/schema-check 500 in 926ms (compile: 904ms, proxy.ts: 6ms, render: 16ms)
 GET /api/schema-check 500 in 926ms (compile: 904ms, proxy.ts: 6ms, render: 16ms)
⨯ Error: ENOENT: no such file or directory, open 'C:\Users\janpa\cd\development\fin\.next\dev\server\app\api\schema-check\[__metadata_id__]\route\app-paths-manifest.json'
    at ignore-listed frames {
  errno: -4058,
  code: 'ENOENT',
  syscall: 'open',
  path: 'C:\\Users\\janpa\\cd\\development\\fin\\.next\\dev\\server\\app\\api\\schema-check\\[__metadata_id__]\\route\\app-paths-manifest.json'
}
⨯ Error: Cannot find module '../chunks/ssr/[turbopack]_runtime.js'
Require stack:
- C:\Users\janpa\cd\development\fin\.next\dev\server\pages\_document.js
- C:\Users\janpa\cd\development\fin\node_modules\next\dist\server\require.js
- C:\Users\janpa\cd\development\fin\node_modules\next\dist\server\load-components.js
- C:\Users\janpa\cd\development\fin\node_modules\next\dist\build\utils.js
- C:\Users\janpa\cd\development\fin\node_modules\next\dist\build\swc\options.js
- C:\Users\janpa\cd\development\fin\node_modules\next\dist\build\swc\index.js
- C:\Users\janpa\cd\development\fin\node_modules\next\dist\build\next-config-ts\transpile-config.js
