▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1067ms
 GET /login 200 in 49ms (compile: 2ms, proxy.ts: 3ms, render: 43ms)
 GET /login 200 in 42ms (compile: 2ms, proxy.ts: 4ms, render: 35ms)
 GET /login 200 in 41ms (compile: 3ms, proxy.ts: 3ms, render: 35ms)
 GET /login 200 in 27ms (compile: 4ms, proxy.ts: 3ms, render: 20ms)
 GET /login 200 in 26ms (compile: 3ms, proxy.ts: 5ms, render: 17ms)
 GET /login 200 in 24ms (compile: 3ms, proxy.ts: 4ms, render: 17ms)
 GET /login 200 in 31ms (compile: 3ms, proxy.ts: 3ms, render: 25ms)
 GET /login 200 in 44ms (compile: 4ms, proxy.ts: 5ms, render: 35ms)
 GET /login 200 in 30ms (compile: 3ms, proxy.ts: 5ms, render: 23ms)
 GET /login 200 in 23ms (compile: 4ms, proxy.ts: 4ms, render: 15ms)
 GET /login 200 in 45ms (compile: 3ms, proxy.ts: 5ms, render: 37ms)
 GET /login 200 in 25ms (compile: 3ms, proxy.ts: 4ms, render: 18ms)
 GET /login 200 in 26ms (compile: 3ms, proxy.ts: 3ms, render: 20ms)
 GET /login 200 in 43ms (compile: 4ms, proxy.ts: 5ms, render: 34ms)
 GET /login 200 in 45ms (compile: 3ms, proxy.ts: 4ms, render: 38ms)
 GET /login 200 in 71ms (compile: 3ms, proxy.ts: 4ms, render: 64ms)
 GET /login 200 in 47ms (compile: 4ms, proxy.ts: 7ms, render: 36ms)
 GET /login 200 in 66ms (compile: 13ms, proxy.ts: 8ms, render: 45ms)
 GET /login 200 in 32ms (compile: 3ms, proxy.ts: 5ms, render: 24ms)
 GET /login 200 in 52ms (compile: 6ms, proxy.ts: 5ms, render: 41ms)
 GET /login 200 in 55ms (compile: 5ms, proxy.ts: 5ms, render: 46ms)
 GET /login 200 in 57ms (compile: 4ms, proxy.ts: 7ms, render: 46ms)
 GET /login 200 in 59ms (compile: 6ms, proxy.ts: 6ms, render: 47ms)
 GET /login 200 in 69ms (compile: 4ms, proxy.ts: 6ms, render: 59ms)
 GET /login 200 in 41ms (compile: 6ms, proxy.ts: 14ms, render: 20ms)
 POST /api/dev-login 401 in 179ms (compile: 5ms, proxy.ts: 5ms, render: 169ms)
 GET /api/schema-check 200 in 1226ms (compile: 190ms, proxy.ts: 6ms, render: 1031ms)
 GET /login 200 in 698ms (compile: 218ms, proxy.ts: 360ms, render: 120ms)
 GET /login 200 in 102ms (compile: 16ms, proxy.ts: 14ms, render: 72ms)
 GET /login 200 in 106ms (compile: 29ms, proxy.ts: 13ms, render: 65ms)
 GET /login 200 in 74ms (compile: 4ms, proxy.ts: 8ms, render: 62ms)
 GET /login 200 in 69ms (compile: 5ms, proxy.ts: 6ms, render: 57ms)
 GET /login 200 in 66ms (compile: 5ms, proxy.ts: 5ms, render: 56ms)
 GET /login 200 in 65ms (compile: 6ms, proxy.ts: 5ms, render: 54ms)
 GET /login 200 in 62ms (compile: 4ms, proxy.ts: 5ms, render: 52ms)
 GET /login 200 in 41ms (compile: 5ms, proxy.ts: 8ms, render: 28ms)
 GET /login 200 in 60ms (compile: 4ms, proxy.ts: 6ms, render: 50ms)
 GET /login 200 in 43ms (compile: 4ms, proxy.ts: 7ms, render: 33ms)
 GET /login 200 in 41ms (compile: 5ms, proxy.ts: 7ms, render: 29ms)
 GET /login 200 in 35ms (compile: 4ms, proxy.ts: 6ms, render: 25ms)
 GET /login 200 in 38ms (compile: 6ms, proxy.ts: 5ms, render: 27ms)
 GET /login 200 in 56ms (compile: 5ms, proxy.ts: 6ms, render: 45ms)
