▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1261ms
 GET /test-sell-transaction 200 in 245ms (compile: 28ms, proxy.ts: 16ms, render: 200ms)
 GET /login 200 in 254ms (compile: 13ms, proxy.ts: 17ms, render: 224ms)
 GET /test-freedom-card 200 in 263ms (compile: 42ms, proxy.ts: 18ms, render: 203ms)
 GET /test-sell-transaction 200 in 332ms (compile: 16ms, proxy.ts: 32ms, render: 284ms)
 GET /login 200 in 348ms (compile: 43ms, proxy.ts: 30ms, render: 276ms)
 GET /test-freedom-card 200 in 332ms (compile: 59ms, proxy.ts: 22ms, render: 250ms)
 GET /test-sell-transaction 200 in 266ms (compile: 83ms, proxy.ts: 32ms, render: 151ms)
 GET /test-sell-transaction 200 in 456ms (compile: 45ms, proxy.ts: 25ms, render: 386ms)
 GET /login 200 in 450ms (compile: 71ms, proxy.ts: 31ms, render: 348ms)
 GET /test-freedom-card 200 in 453ms (compile: 86ms, proxy.ts: 39ms, render: 328ms)
 GET /test-sell-transaction 200 in 455ms (compile: 40ms, proxy.ts: 58ms, render: 356ms)
 GET /login 200 in 420ms (compile: 54ms, proxy.ts: 22ms, render: 344ms)
 GET /test-freedom-card 200 in 428ms (compile: 182ms, proxy.ts: 30ms, render: 216ms)
 GET /test-sell-transaction 200 in 381ms (compile: 24ms, proxy.ts: 61ms, render: 295ms)
 GET /login 200 in 384ms (compile: 52ms, proxy.ts: 63ms, render: 268ms)
 GET /test-freedom-card 200 in 354ms (compile: 85ms, proxy.ts: 32ms, render: 237ms)
 GET /test-sell-transaction 200 in 338ms (compile: 23ms, proxy.ts: 53ms, render: 261ms)
 GET /login 200 in 338ms (compile: 55ms, proxy.ts: 50ms, render: 233ms)
 GET /test-freedom-card 200 in 307ms (compile: 120ms, proxy.ts: 28ms, render: 159ms)
 GET /test-sell-transaction 200 in 274ms (compile: 27ms, proxy.ts: 65ms, render: 183ms)
 GET /login 200 in 231ms (compile: 40ms, proxy.ts: 27ms, render: 164ms)
 GET /test-freedom-card 200 in 234ms (compile: 67ms, proxy.ts: 23ms, render: 145ms)
 GET /login 200 in 231ms (compile: 33ms, proxy.ts: 33ms, render: 165ms)
 GET /test-sell-transaction 200 in 236ms (compile: 17ms, proxy.ts: 33ms, render: 186ms)
 GET /test-freedom-card 200 in 211ms (compile: 58ms, proxy.ts: 15ms, render: 139ms)
 GET /test-sell-transaction 200 in 221ms (compile: 20ms, proxy.ts: 36ms, render: 165ms)
 GET /login 200 in 199ms (compile: 37ms, proxy.ts: 19ms, render: 143ms)
 GET /test-freedom-card 200 in 200ms (compile: 58ms, proxy.ts: 17ms, render: 126ms)
 GET /test-sell-transaction 200 in 216ms (compile: 16ms, proxy.ts: 33ms, render: 167ms)
 GET /login 200 in 204ms (compile: 30ms, proxy.ts: 17ms, render: 157ms)
 GET /test-freedom-card 200 in 201ms (compile: 50ms, proxy.ts: 17ms, render: 134ms)
 GET /test-sell-transaction 200 in 215ms (compile: 15ms, proxy.ts: 34ms, render: 166ms)
 GET /login 200 in 193ms (compile: 30ms, proxy.ts: 15ms, render: 147ms)
 GET /test-freedom-card 200 in 197ms (compile: 59ms, proxy.ts: 16ms, render: 121ms)
 GET /login 200 in 207ms (compile: 30ms, proxy.ts: 34ms, render: 143ms)
 GET /test-sell-transaction 200 in 210ms (compile: 14ms, proxy.ts: 33ms, render: 163ms)
 GET /test-freedom-card 200 in 225ms (compile: 52ms, proxy.ts: 14ms, render: 158ms)
 GET /test-sell-transaction 200 in 198ms (compile: 20ms, proxy.ts: 26ms, render: 152ms)
 GET /login 200 in 198ms (compile: 28ms, proxy.ts: 34ms, render: 136ms)
 GET /test-freedom-card 200 in 213ms (compile: 50ms, proxy.ts: 14ms, render: 149ms)
 GET /login 200 in 192ms (compile: 26ms, proxy.ts: 34ms, render: 132ms)
 GET /test-sell-transaction 200 in 195ms (compile: 12ms, proxy.ts: 30ms, render: 152ms)
 GET /test-freedom-card 200 in 174ms (compile: 11ms, proxy.ts: 48ms, render: 115ms)
 GET /test-sell-transaction 200 in 204ms (compile: 9ms, proxy.ts: 30ms, render: 165ms)
 GET /login 200 in 204ms (compile: 26ms, proxy.ts: 30ms, render: 148ms)
 GET /test-freedom-card 200 in 208ms (compile: 14ms, proxy.ts: 44ms, render: 149ms)
 GET /test-sell-transaction 200 in 210ms (compile: 13ms, proxy.ts: 34ms, render: 163ms)
 GET /login 200 in 212ms (compile: 28ms, proxy.ts: 34ms, render: 150ms)
 GET /test-freedom-card 200 in 191ms (compile: 46ms, proxy.ts: 8ms, render: 137ms)
 GET /test-sell-transaction 200 in 220ms (compile: 14ms, proxy.ts: 42ms, render: 163ms)
 GET /login 200 in 223ms (compile: 33ms, proxy.ts: 45ms, render: 145ms)
 GET /test-freedom-card 200 in 197ms (compile: 49ms, proxy.ts: 17ms, render: 131ms)
 GET /login 200 in 193ms (compile: 33ms, proxy.ts: 17ms, render: 143ms)
 GET /test-sell-transaction 200 in 218ms (compile: 17ms, proxy.ts: 34ms, render: 167ms)
 GET /test-freedom-card 200 in 196ms (compile: 52ms, proxy.ts: 14ms, render: 130ms)
 GET /login 200 in 189ms (compile: 30ms, proxy.ts: 19ms, render: 139ms)
 GET /test-sell-transaction 200 in 214ms (compile: 14ms, proxy.ts: 38ms, render: 162ms)
 GET /test-freedom-card 200 in 195ms (compile: 50ms, proxy.ts: 17ms, render: 128ms)
 GET /test-sell-transaction 200 in 207ms (compile: 23ms, proxy.ts: 28ms, render: 155ms)
 GET /login 200 in 215ms (compile: 34ms, proxy.ts: 35ms, render: 146ms)
 GET /test-freedom-card 200 in 191ms (compile: 47ms, proxy.ts: 18ms, render: 126ms)
 GET /login 200 in 191ms (compile: 29ms, proxy.ts: 17ms, render: 144ms)
 GET /test-sell-transaction 200 in 216ms (compile: 15ms, proxy.ts: 33ms, render: 168ms)
 GET /test-freedom-card 200 in 196ms (compile: 50ms, proxy.ts: 17ms, render: 130ms)
 GET /test-sell-transaction 200 in 227ms (compile: 11ms, proxy.ts: 32ms, render: 184ms)
 GET /login 200 in 227ms (compile: 27ms, proxy.ts: 31ms, render: 170ms)
 GET /test-freedom-card 200 in 215ms (compile: 53ms, proxy.ts: 13ms, render: 150ms)
 GET /test-sell-transaction 200 in 245ms (compile: 16ms, proxy.ts: 37ms, render: 192ms)
 GET /login 200 in 251ms (compile: 41ms, proxy.ts: 40ms, render: 170ms)
 GET /test-freedom-card 200 in 230ms (compile: 58ms, proxy.ts: 17ms, render: 154ms)
 GET /test-sell-transaction 200 in 235ms (compile: 24ms, proxy.ts: 34ms, render: 178ms)
 GET /login 200 in 218ms (compile: 41ms, proxy.ts: 20ms, render: 157ms)
 GET /test-freedom-card 200 in 218ms (compile: 63ms, proxy.ts: 20ms, render: 134ms)
 GET /test-sell-transaction 200 in 222ms (compile: 18ms, proxy.ts: 35ms, render: 170ms)
 GET /login 200 in 213ms (compile: 34ms, proxy.ts: 17ms, render: 161ms)
 GET /test-freedom-card 200 in 211ms (compile: 53ms, proxy.ts: 17ms, render: 141ms)
 GET /test-sell-transaction 200 in 244ms (compile: 16ms, proxy.ts: 34ms, render: 194ms)
 GET /login 200 in 232ms (compile: 32ms, proxy.ts: 16ms, render: 184ms)
 GET /test-freedom-card 200 in 231ms (compile: 51ms, proxy.ts: 16ms, render: 164ms)
 GET /test-sell-transaction 200 in 248ms (compile: 23ms, proxy.ts: 45ms, render: 180ms)
 GET /login 200 in 231ms (compile: 44ms, proxy.ts: 27ms, render: 161ms)
 GET /test-freedom-card 200 in 233ms (compile: 55ms, proxy.ts: 28ms, render: 151ms)
 GET /test-sell-transaction 200 in 205ms (compile: 17ms, proxy.ts: 29ms, render: 158ms)
 GET /login 200 in 196ms (compile: 32ms, proxy.ts: 19ms, render: 144ms)
 GET /test-freedom-card 200 in 196ms (compile: 46ms, proxy.ts: 20ms, render: 130ms)
 GET /test-sell-transaction 200 in 181ms (compile: 19ms, proxy.ts: 17ms, render: 145ms)
 GET /login 200 in 181ms (compile: 34ms, proxy.ts: 18ms, render: 130ms)
 GET /test-freedom-card 200 in 180ms (compile: 41ms, proxy.ts: 19ms, render: 120ms)
 GET /api/verify-phase-transition 200 in 222ms (compile: 191ms, proxy.ts: 23ms, render: 8ms)
 GET /test-sell-transaction 200 in 196ms (compile: 14ms, proxy.ts: 11ms, render: 171ms)
 GET /login 200 in 195ms (compile: 28ms, proxy.ts: 14ms, render: 153ms)
 GET /test-freedom-card 200 in 200ms (compile: 42ms, proxy.ts: 16ms, render: 142ms)
 GET /test-sell-transaction 200 in 197ms (compile: 47ms, proxy.ts: 8ms, render: 141ms)
 GET /login 200 in 195ms (compile: 59ms, proxy.ts: 13ms, render: 122ms)
 GET /test-freedom-card 200 in 201ms (compile: 72ms, proxy.ts: 17ms, render: 113ms)
 GET /test-sell-transaction 200 in 174ms (compile: 8ms, proxy.ts: 12ms, render: 155ms)
 GET /login 200 in 178ms (compile: 24ms, proxy.ts: 12ms, render: 142ms)
 GET /test-freedom-card 200 in 181ms (compile: 41ms, proxy.ts: 13ms, render: 127ms)
 GET /login 200 in 172ms (compile: 35ms, proxy.ts: 14ms, render: 123ms)
 GET /test-sell-transaction 200 in 186ms (compile: 21ms, proxy.ts: 22ms, render: 143ms)
 GET /test-freedom-card 200 in 207ms (compile: 47ms, proxy.ts: 14ms, render: 145ms)
 GET /login 200 in 195ms (compile: 26ms, proxy.ts: 14ms, render: 154ms)
 GET /test-sell-transaction 200 in 202ms (compile: 13ms, proxy.ts: 12ms, render: 177ms)
 GET /test-freedom-card 200 in 200ms (compile: 40ms, proxy.ts: 16ms, render: 144ms)
 GET /login 200 in 198ms (compile: 61ms, proxy.ts: 12ms, render: 125ms)
 GET /test-sell-transaction 200 in 201ms (compile: 46ms, proxy.ts: 10ms, render: 145ms)
 GET /test-freedom-card 200 in 201ms (compile: 45ms, proxy.ts: 47ms, render: 109ms)
 GET /login 200 in 163ms (compile: 28ms, proxy.ts: 11ms, render: 124ms)
 GET /test-sell-transaction 200 in 184ms (compile: 13ms, proxy.ts: 29ms, render: 142ms)
 GET /test-freedom-card 200 in 176ms (compile: 40ms, proxy.ts: 14ms, render: 122ms)
 GET /test-sell-transaction 200 in 192ms (compile: 17ms, proxy.ts: 30ms, render: 146ms)
 GET /login 200 in 178ms (compile: 28ms, proxy.ts: 19ms, render: 131ms)
 GET /test-freedom-card 200 in 176ms (compile: 42ms, proxy.ts: 20ms, render: 115ms)
 GET /test-sell-transaction 200 in 198ms (compile: 21ms, proxy.ts: 29ms, render: 147ms)
 GET /login 200 in 182ms (compile: 36ms, proxy.ts: 13ms, render: 133ms)
 GET /test-freedom-card 200 in 187ms (compile: 42ms, proxy.ts: 25ms, render: 121ms)
 GET /test-sell-transaction 200 in 196ms (compile: 13ms, proxy.ts: 29ms, render: 154ms)
 GET /login 200 in 180ms (compile: 29ms, proxy.ts: 13ms, render: 138ms)
 GET /test-freedom-card 200 in 183ms (compile: 47ms, proxy.ts: 17ms, render: 120ms)
 GET /test-sell-transaction 200 in 206ms (compile: 15ms, proxy.ts: 36ms, render: 155ms)
 GET /login 200 in 211ms (compile: 29ms, proxy.ts: 37ms, render: 144ms)
 GET /test-freedom-card 200 in 183ms (compile: 40ms, proxy.ts: 15ms, render: 128ms)
 GET /login 200 in 183ms (compile: 31ms, proxy.ts: 17ms, render: 135ms)
 GET /test-sell-transaction 200 in 206ms (compile: 13ms, proxy.ts: 36ms, render: 157ms)
 GET /test-freedom-card 200 in 179ms (compile: 51ms, proxy.ts: 13ms, render: 115ms)
