▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://192.168.86.37:3001
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1104ms
 GET /test-phase-transition 200 in 51ms (compile: 4ms, proxy.ts: 4ms, render: 42ms)
 GET /test-phase-transition 200 in 53ms (compile: 5ms, proxy.ts: 5ms, render: 43ms)
 GET /test-phase-transition 200 in 68ms (compile: 3ms, proxy.ts: 4ms, render: 60ms)
 GET /test-phase-transition 200 in 45ms (compile: 4ms, proxy.ts: 7ms, render: 34ms)
 GET /test-phase-transition 200 in 59ms (compile: 5ms, proxy.ts: 7ms, render: 48ms)
 GET /test-phase-transition 200 in 60ms (compile: 5ms, proxy.ts: 5ms, render: 50ms)
 GET /test-phase-transition 200 in 78ms (compile: 4ms, proxy.ts: 5ms, render: 70ms)
 GET /test-phase-transition 200 in 85ms (compile: 4ms, proxy.ts: 9ms, render: 72ms)
 GET /test-phase-transition 200 in 61ms (compile: 5ms, proxy.ts: 7ms, render: 49ms)
 GET /test-phase-transition 200 in 80ms (compile: 4ms, proxy.ts: 8ms, render: 68ms)
 GET /test-phase-transition 200 in 60ms (compile: 22ms, proxy.ts: 8ms, render: 31ms)
 GET /test-phase-transition 200 in 36ms (compile: 5ms, proxy.ts: 8ms, render: 23ms)
 GET /test-phase-transition 200 in 59ms (compile: 7ms, proxy.ts: 4ms, render: 48ms)
 GET /test-phase-transition 200 in 38ms (compile: 5ms, proxy.ts: 5ms, render: 28ms)
 GET /test-phase-transition 200 in 40ms (compile: 6ms, proxy.ts: 8ms, render: 26ms)
 GET /test-phase-transition 200 in 56ms (compile: 4ms, proxy.ts: 5ms, render: 47ms)
 GET /test-phase-transition 200 in 36ms (compile: 6ms, proxy.ts: 5ms, render: 26ms)
 GET /test-phase-transition 200 in 59ms (compile: 5ms, proxy.ts: 6ms, render: 48ms)
 GET /test-phase-transition 200 in 61ms (compile: 5ms, proxy.ts: 5ms, render: 51ms)
 GET /test-phase-transition 200 in 61ms (compile: 4ms, proxy.ts: 6ms, render: 50ms)
 GET /test-phase-transition 200 in 62ms (compile: 4ms, proxy.ts: 7ms, render: 51ms)
 GET /test-phase-transition 200 in 60ms (compile: 6ms, proxy.ts: 7ms, render: 47ms)
 GET /test-phase-transition 200 in 60ms (compile: 4ms, proxy.ts: 6ms, render: 50ms)
 GET /test-phase-transition 200 in 72ms (compile: 5ms, proxy.ts: 7ms, render: 60ms)
 GET /test-phase-transition 200 in 60ms (compile: 4ms, proxy.ts: 6ms, render: 50ms)
 GET /test-phase-transition 200 in 59ms (compile: 3ms, proxy.ts: 6ms, render: 49ms)
 GET /test-phase-transition 200 in 36ms (compile: 4ms, proxy.ts: 6ms, render: 26ms)
 GET /test-phase-transition 200 in 32ms (compile: 7ms, proxy.ts: 5ms, render: 21ms)
 GET /test-phase-transition 200 in 26ms (compile: 3ms, proxy.ts: 4ms, render: 18ms)
 GET /test-phase-transition 200 in 28ms (compile: 5ms, proxy.ts: 4ms, render: 19ms)
 GET /test-phase-transition 200 in 33ms (compile: 4ms, proxy.ts: 7ms, render: 23ms)
 GET /test-phase-transition 200 in 30ms (compile: 5ms, proxy.ts: 3ms, render: 22ms)
 GET /test-phase-transition 200 in 47ms (compile: 4ms, proxy.ts: 6ms, render: 37ms)
 GET /test-phase-transition 200 in 41ms (compile: 3ms, proxy.ts: 3ms, render: 35ms)
 GET /test-phase-transition 200 in 40ms (compile: 3ms, proxy.ts: 5ms, render: 32ms)
 GET /test-phase-transition 200 in 25ms (compile: 2ms, proxy.ts: 4ms, render: 19ms)
 GET /test-phase-transition 200 in 30ms (compile: 3ms, proxy.ts: 4ms, render: 23ms)
 GET /test-phase-transition 200 in 40ms (compile: 4ms, proxy.ts: 4ms, render: 32ms)
 GET /test-phase-transition 200 in 26ms (compile: 2ms, proxy.ts: 5ms, render: 18ms)
 GET /test-phase-transition 200 in 26ms (compile: 2ms, proxy.ts: 5ms, render: 18ms)
 GET /test-phase-transition 200 in 39ms (compile: 10ms, proxy.ts: 5ms, render: 23ms)
 GET /test-phase-transition 200 in 31ms (compile: 6ms, proxy.ts: 4ms, render: 21ms)
 GET /test-phase-transition 200 in 25ms (compile: 3ms, proxy.ts: 4ms, render: 17ms)
 GET /test-phase-transition 200 in 30ms (compile: 4ms, proxy.ts: 5ms, render: 21ms)
