▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:4444
- Network:       http://192.168.86.37:4444
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1058ms
 GET /test-sovereignty-gating 200 in 28ms (compile: 4ms, proxy.ts: 3ms, render: 21ms)
 GET /test-sovereignty-gating 200 in 36ms (compile: 2ms, proxy.ts: 6ms, render: 28ms)
 GET /test-sovereignty-gating 200 in 22ms (compile: 2ms, proxy.ts: 4ms, render: 15ms)
 GET /test-sovereignty-gating 200 in 24ms (compile: 2ms, proxy.ts: 4ms, render: 18ms)
 GET /test-sovereignty-gating 200 in 31ms (compile: 3ms, proxy.ts: 4ms, render: 24ms)
 GET /test-sovereignty-gating 200 in 24ms (compile: 2ms, proxy.ts: 4ms, render: 18ms)
 GET /test-sovereignty-gating 200 in 30ms (compile: 6ms, proxy.ts: 4ms, render: 21ms)
 GET /test-sovereignty-gating 200 in 26ms (compile: 3ms, proxy.ts: 5ms, render: 18ms)
 GET /test-sovereignty-gating 200 in 24ms (compile: 2ms, proxy.ts: 4ms, render: 18ms)
 GET /test-sovereignty-gating 200 in 49ms (compile: 3ms, proxy.ts: 3ms, render: 43ms)
 GET /test-sovereignty-gating 200 in 48ms (compile: 4ms, proxy.ts: 5ms, render: 39ms)
 GET /test-sovereignty-gating 200 in 24ms (compile: 2ms, proxy.ts: 4ms, render: 18ms)
 GET /test-sovereignty-gating 200 in 29ms (compile: 5ms, proxy.ts: 4ms, render: 20ms)
 GET /test-sovereignty-gating 200 in 28ms (compile: 3ms, proxy.ts: 4ms, render: 21ms)
 GET /test-sovereignty-gating 200 in 44ms (compile: 4ms, proxy.ts: 4ms, render: 37ms)
 GET /test-sovereignty-gating 200 in 30ms (compile: 4ms, proxy.ts: 4ms, render: 22ms)
 GET /test-sovereignty-gating 200 in 28ms (compile: 3ms, proxy.ts: 5ms, render: 20ms)
 GET /test-sovereignty-gating 200 in 49ms (compile: 4ms, proxy.ts: 4ms, render: 42ms)
 GET /test-sovereignty-gating 200 in 34ms (compile: 3ms, proxy.ts: 5ms, render: 26ms)
 GET /test-sovereignty-gating 200 in 26ms (compile: 4ms, proxy.ts: 4ms, render: 18ms)
 GET /test-sovereignty-gating 200 in 41ms (compile: 3ms, proxy.ts: 7ms, render: 31ms)
 GET /test-sovereignty-gating 200 in 27ms (compile: 3ms, proxy.ts: 5ms, render: 19ms)
 GET /test-sovereignty-gating 200 in 29ms (compile: 4ms, proxy.ts: 4ms, render: 22ms)
 GET /test-sovereignty-gating 200 in 34ms (compile: 4ms, proxy.ts: 6ms, render: 23ms)
 GET /test-sovereignty-gating 200 in 34ms (compile: 4ms, proxy.ts: 5ms, render: 25ms)
 GET /test-sovereignty-gating 200 in 28ms (compile: 3ms, proxy.ts: 6ms, render: 19ms)
 GET /test-sovereignty-gating 200 in 34ms (compile: 4ms, proxy.ts: 6ms, render: 24ms)
 GET /test-sovereignty-gating 200 in 31ms (compile: 4ms, proxy.ts: 4ms, render: 23ms)
 GET /test-sovereignty-gating 200 in 28ms (compile: 4ms, proxy.ts: 5ms, render: 19ms)
 GET /test-sovereignty-gating 200 in 27ms (compile: 3ms, proxy.ts: 4ms, render: 20ms)
 GET /test-sovereignty-gating 200 in 28ms (compile: 4ms, proxy.ts: 4ms, render: 20ms)
 GET /test-sovereignty-gating 200 in 26ms (compile: 4ms, proxy.ts: 5ms, render: 18ms)
 GET /test-sovereignty-gating 200 in 27ms (compile: 2ms, proxy.ts: 4ms, render: 21ms)
 GET /test-sovereignty-gating 200 in 33ms (compile: 6ms, proxy.ts: 4ms, render: 23ms)
 GET /test-sovereignty-gating 200 in 33ms (compile: 4ms, proxy.ts: 4ms, render: 25ms)
 GET /test-sovereignty-gating 200 in 34ms (compile: 5ms, proxy.ts: 6ms, render: 24ms)
 GET /test-sovereignty-gating 200 in 42ms (compile: 4ms, proxy.ts: 5ms, render: 33ms)
 GET /test-sovereignty-gating 200 in 33ms (compile: 5ms, proxy.ts: 5ms, render: 23ms)
 GET /test-sovereignty-gating 200 in 29ms (compile: 4ms, proxy.ts: 4ms, render: 21ms)
 GET /test-sovereignty-gating 200 in 33ms (compile: 4ms, proxy.ts: 5ms, render: 23ms)
 GET /test-sovereignty-gating 200 in 35ms (compile: 4ms, proxy.ts: 4ms, render: 26ms)
 GET /test-sovereignty-gating 200 in 34ms (compile: 6ms, proxy.ts: 6ms, render: 23ms)
 GET /test-sovereignty-gating 200 in 30ms (compile: 4ms, proxy.ts: 4ms, render: 22ms)
 GET /test-sovereignty-gating 200 in 31ms (compile: 3ms, proxy.ts: 5ms, render: 23ms)
