▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1064ms
 GET /test-fire-scenarios 200 in 69ms (compile: 7ms, proxy.ts: 5ms, render: 57ms)
 GET /test-fire-scenarios 200 in 76ms (compile: 4ms, proxy.ts: 6ms, render: 66ms)
 GET /test-fire-scenarios 200 in 58ms (compile: 5ms, proxy.ts: 8ms, render: 45ms)
 GET /test-fire-scenarios 200 in 77ms (compile: 10ms, proxy.ts: 9ms, render: 58ms)
 GET /test-fire-scenarios 200 in 40ms (compile: 6ms, proxy.ts: 7ms, render: 28ms)
 GET /test-fire-scenarios 200 in 43ms (compile: 7ms, proxy.ts: 8ms, render: 28ms)
 GET /test-fire-scenarios 200 in 39ms (compile: 6ms, proxy.ts: 6ms, render: 27ms)
 GET /test-fire-scenarios 200 in 37ms (compile: 5ms, proxy.ts: 6ms, render: 26ms)
 GET /test-fire-scenarios 200 in 42ms (compile: 4ms, proxy.ts: 6ms, render: 32ms)
 GET /test-fire-scenarios 200 in 65ms (compile: 5ms, proxy.ts: 7ms, render: 53ms)
 GET /test-fire-scenarios 200 in 66ms (compile: 5ms, proxy.ts: 9ms, render: 52ms)
 GET /test-fire-scenarios 200 in 38ms (compile: 5ms, proxy.ts: 7ms, render: 27ms)
 GET /test-fire-scenarios 200 in 75ms (compile: 5ms, proxy.ts: 5ms, render: 65ms)
 GET /test-fire-scenarios 200 in 44ms (compile: 9ms, proxy.ts: 7ms, render: 28ms)
 GET /test-fire-scenarios 200 in 73ms (compile: 5ms, proxy.ts: 5ms, render: 62ms)
 GET /test-fire-scenarios 200 in 50ms (compile: 4ms, proxy.ts: 17ms, render: 30ms)
 GET /test-fire-scenarios 200 in 41ms (compile: 5ms, proxy.ts: 9ms, render: 27ms)
 GET /test-fire-scenarios 200 in 33ms (compile: 5ms, proxy.ts: 6ms, render: 21ms)
